"ID","Area","Year","Element","Unit","Value","Item","Element.1","Unit.1","Value.1","Item.1","Unit.2","Value.2"
"Argentina 1961","Argentina",1961,"Total Population - Both sexes","1000 persons",20680.653,"Cereals, primary","Production","tonnes",14512100,"Cropland","1000 ha",19472
"Argentina 1962","Argentina",1962,"Total Population - Both sexes","1000 persons",21020.359,"Cereals, primary","Production","tonnes",13961600,"Cropland","1000 ha",20061
"Argentina 1963","Argentina",1963,"Total Population - Both sexes","1000 persons",21364.017,"Cereals, primary","Production","tonnes",17331100,"Cropland","1000 ha",20486
"Argentina 1964","Argentina",1964,"Total Population - Both sexes","1000 persons",21708.487,"Cereals, primary","Production","tonnes",20821300,"Cropland","1000 ha",20892
"Argentina 1965","Argentina",1965,"Total Population - Both sexes","1000 persons",22053.661,"Cereals, primary","Production","tonnes",13843800,"Cropland","1000 ha",21358
"Argentina 1966","Argentina",1966,"Total Population - Both sexes","1000 persons",22403.116,"Cereals, primary","Production","tonnes",17317600,"Cropland","1000 ha",22511
"Argentina 1967","Argentina",1967,"Total Population - Both sexes","1000 persons",22757.014,"Cereals, primary","Production","tonnes",19575100,"Cropland","1000 ha",23249
"Argentina 1968","Argentina",1968,"Total Population - Both sexes","1000 persons",23112.971,"Cereals, primary","Production","tonnes",16296600,"Cropland","1000 ha",24765
"Argentina 1969","Argentina",1969,"Total Population - Both sexes","1000 persons",23472.028,"Cereals, primary","Production","tonnes",18477000,"Cropland","1000 ha",24896
"Argentina 1970","Argentina",1970,"Total Population - Both sexes","1000 persons",23842.803,"Cereals, primary","Production","tonnes",19922000,"Cropland","1000 ha",25028
"Argentina 1971","Argentina",1971,"Total Population - Both sexes","1000 persons",24223.379,"Cereals, primary","Production","tonnes",21975800,"Cropland","1000 ha",25160
"Argentina 1972","Argentina",1972,"Total Population - Both sexes","1000 persons",24612.794,"Cereals, primary","Production","tonnes",18834100,"Cropland","1000 ha",25291
"Argentina 1973","Argentina",1973,"Total Population - Both sexes","1000 persons",25020.588,"Cereals, primary","Production","tonnes",23861300,"Cropland","1000 ha",25423
"Argentina 1974","Argentina",1974,"Total Population - Both sexes","1000 persons",25449.754,"Cereals, primary","Production","tonnes",23608900,"Cropland","1000 ha",25554
"Argentina 1975","Argentina",1975,"Total Population - Both sexes","1000 persons",25875.558,"Cereals, primary","Production","tonnes",23040800,"Cropland","1000 ha",25686
"Argentina 1976","Argentina",1976,"Total Population - Both sexes","1000 persons",26290.257,"Cereals, primary","Production","tonnes",24891700,"Cropland","1000 ha",25817
"Argentina 1977","Argentina",1977,"Total Population - Both sexes","1000 persons",26713.78,"Cereals, primary","Production","tonnes",22506800,"Cropland","1000 ha",25949
