UniqueCount	AmbigCount
3	0
311	0
0	0
0	0
21	0
32	0
7	0
27	0
0	0
7	0
225	0
0	0
654	0
136	0
42	0
0	0
18	0
2	0
0	0
8	0
0	0
1	0
878	0
0	0
49	0
3069	0
35	0
13	0
123	0
3	0
4	0
25652	0
0	0
0	0
0	0
21	0
0	0
56	0
281	0
0	0
57	0
14	0
8	0
14	0
52	0
0	0
0	0
295	0
190	0
0	0
214	0
483	0
0	0
59	0
37	0
317	0
270	0
177	0
57	0
0	0
50	0
207	0
138	0
0	0
4	0
414	0
15	0
2	0
52	0
103	0
1143	0
3	0
131	0
5	0
2	0
0	0
34	0
41	0
35	0
13	0
102	0
0	0
22	0
76	0
553	0
343	0
0	0
208	0
2	0
85	0
785	0
380	0
0	0
7	0
38	0
0	0
0	0
9	0
95	0
1	0
0	0
0	0
48	0
3	0
10	0
7	0
0	0
0	0
31	0
53	0
34	0
39	0
1636	0
0	0
2	0
66	0
38	0
243	0
801	0
185	0
380	0
14	0
0	0
213	0
3	0
80	0
0	0
0	0
16	0
0	0
43	0
1	0
246	0
1194	0
18	0
98	0
16	0
0	0
103	0
22	0
0	0
0	0
5	0
149	0
556	0
185	0
0	0
23	0
139	0
0	0
0	0
2	0
248	0
0	0
44	0
56	0
52	0
0	0
0	0
80	0
17	0
12	0
14	0
142	0
725	0
222	0
16	0
339	0
668	0
159	0
98	0
333	0
0	0
61	0
2	0
0	0
78	0
82	0
2	0
0	0
445	0
4	0
58	0
0	0
0	0
230	0
0	0
10	0
92	0
0	0
4	0
0	0
162	0
0	0
0	0
1	0
20	0
0	0
293	0
1	0
0	0
581	0
1198	0
1338	0
0	0
127	0
2	0
3	0
0	0
1	0
0	0
54	0
0	0
1	0
0	0
63	0
0	0
26	0
24	0
0	0
4	0
539	0
78	0
0	0
20	0
67	0
0	0
1206	0
0	0
32	0
0	0
0	0
0	0
30	0
84	0
0	0
860	0
31	0
0	0
0	0
9	0
76	0
134	0
189	0
0	0
0	0
1413	0
2	0
0	0
28	0
0	0
1	0
4	0
198	0
1	0
63	0
24	0
137	0
0	0
520	0
16	0
65	0
2	0
12	0
0	0
112	0
2793	0
246	0
0	0
0	0
450	0
0	0
58	0
0	0
48	0
106	0
0	0
0	0
0	0
1	0
122	0
0	0
0	0
0	0
0	0
3	0
2	0
2951	0
28	0
93	0
31	0
0	0
71	0
2	0
285	0
0	0
2	0
0	0
0	0
0	0
17	0
1	0
57	0
0	0
2	0
0	0
35	0
277	0
0	0
0	0
2	0
0	0
286	0
12	0
185	0
110	0
112	0
67	0
48	0
2	0
0	0
258	0
153	0
1	0
22	0
54	0
0	0
81	0
0	0
465	0
26	0
4	0
0	0
372	0
0	0
7	0
935	0
124	0
0	0
93	0
172	0
278	0
0	0
63	0
1	0
6	0
0	0
1	0
6	0
1058	0
19	0
0	0
15	0
0	0
235	0
1	0
4	0
1	0
375	0
1	0
0	0
1	0
13	0
0	0
0	0
0	0
3	0
143	0
5	0
0	0
342	0
527	0
6	0
92	0
