UniqueCount	AmbigCount
1	0
214	0
0	0
0	0
28	0
45	0
0	0
21	0
0	0
8	0
192	0
3	0
256	0
48	0
16	0
0	0
11	0
2	0
2	0
29	0
0	0
3	0
1243	0
1	0
45	0
786	0
11	0
3	0
82	0
7	0
0	0
68465	0
6	0
0	0
3	0
7	0
0	0
59	0
189	0
3	0
34	0
12	0
11	0
4	0
51	0
0	0
0	0
196	0
70	0
0	0
135	0
211	0
0	0
36	0
16	0
350	0
174	0
93	0
49	0
4	0
20	0
85	0
140	0
0	0
8	0
360	0
6	0
5	0
87	0
143	0
575	0
5	0
70	0
2	0
2	0
2	0
22	0
26	0
47	0
6	0
99	0
0	0
14	0
23	0
230	0
490	0
0	0
547	0
0	0
38	0
518	0
79	0
0	0
4	0
18	0
0	0
1	0
0	0
48	0
3	0
2	0
0	0
79	0
0	0
4	0
7	0
0	0
0	0
28	0
252	0
17	0
186	0
278	0
0	0
17	0
26	0
23	0
120	0
88	0
113	0
526	0
1	0
0	0
97	0
0	0
152	0
0	0
6	0
10	0
0	0
19	0
3	0
150	0
1228	0
7	0
83	0
2	0
0	0
82	0
21	0
6	0
0	0
4	0
17	0
419	0
92	0
2	0
11	0
53	0
0	0
0	0
3	0
268	0
3	0
53	0
107	0
25	0
0	0
0	0
32	0
14	0
2	0
20	0
750	0
1458	0
279	0
38	0
222	0
337	0
54	0
145	0
121	0
0	0
75	0
6	0
0	0
49	0
37	0
11	0
5	0
369	0
6	0
71	0
1	0
0	0
55	0
0	0
13	0
335	0
0	0
1	0
0	0
140	0
10	0
2	0
0	0
14	0
0	0
168	0
2	0
0	0
227	0
290	0
586	0
0	0
31	0
0	0
7	0
0	0
9	0
0	0
71	0
0	0
3	0
5	0
84	0
0	0
15	0
36	0
2	0
5	0
132	0
32	0
3	0
6	0
86	0
4	0
290	0
0	0
13	0
0	0
1	0
0	0
29	0
45	0
0	0
1081	0
53	0
0	0
0	0
4	0
52	0
74	0
97	0
0	0
0	0
625	0
4	0
0	0
34	0
0	0
0	0
5	0
68	0
0	0
24	0
18	0
71	0
2	0
184	0
14	0
13	0
19	0
0	0
0	0
113	0
3892	0
141	0
0	0
0	0
370	0
0	0
107	0
0	0
124	0
48	0
0	0
0	0
0	0
0	0
112	0
0	0
0	0
0	0
3	0
0	0
4	0
3653	0
55	0
44	0
14	0
0	0
48	0
6	0
150	0
0	0
7	0
5	0
5	0
0	0
9	0
0	0
25	0
0	0
3	0
0	0
43	0
380	0
0	0
0	0
5	0
11	0
516	0
13	0
69	0
34	0
209	0
43	0
21	0
0	0
3	0
142	0
43	0
0	0
22	0
76	0
5	0
22	0
0	0
1587	0
34	0
6	0
0	0
149	0
1	0
8	0
513	0
138	0
6	0
122	0
108	0
55	0
0	0
24	0
0	0
6	0
0	0
0	0
3	0
127	0
19	0
0	0
21	0
0	0
145	0
0	0
2	0
0	0
353	0
1	0
1	0
0	0
2	0
1	0
0	0
1	0
21	0
68	0
4	0
0	0
176	0
384	0
3	0
81	0
95	0
161	0
107	0
35	0
148	0
0	0
470	0
0	0
0	0
441	0
38	0
1	0
74	0
38	0
102	0
24	0
0	0
3	0
19	0
0	0
0	0
0	0
647	0
359	0
0	0
1	0
1	0
31	0
21	0
0	0
0	0
96	0
86	0
5	0
47	0
0	0
29	0
0	0
55	0
0	0
1	0
3	0
1	0
0	0
27	0
0	0
44	0
29	0
526	0
0	0
0	0
0	0
1	0
8	0
215	0
0	0
32	0
0	0
35	0
0	0
0	0
2	0
2	0
136	0
25	0
68	0
11	0
1	0
1	0
6	0
5	0
3	0
283	0
13	0
0	0
165	0
20	0
49	0
0	0
405	0
1	0
8	0
0	0
0	0
119	0
210	0
0	0
1	0
103	0
0	0
0	0
5	0
11	0
94	0
1353	0
165	0
0	0
73	0
51	0
320	0
0	0
5	0
647	0
67	0
49	0
142	0
0	0
139	0
46	0
40	0
139	0
0	0
11	0
0	0
0	0
70	0
0	0
4	0
24	0
0	0
49	0
0	0
2	0
14	0
0	0
11	0
0	0
28	0
3	0
3	0
172	0
0	0
0	0
20	0
8	0
0	0
87	0
0	0
13	0
0	0
30	0
0	0
33	0
179	0
0	0
3	0
75	0
36	0
0	0
56	0
420	0
0	0
0	0
66	0
8	0
176	0
95	0
5	0
78	0
0	0
5	0
20	0
0	0
0	0
0	0
0	0
50	0
1	0
17	0
1	0
0	0
45	0
10	0
66	0
0	0
0	0
0	0
37	0
89	0
29	0
162	0
0	0
6	0
0	0
1858	0
0	0
75	0
45	0
0	0
0	0
0	0
301	0
505	0
105	0
3	0
46	0
221	0
43	0
18	0
14	0
9	0
1	0
230	0
58	0
7	0
1	0
16	0
485	0
0	0
501	0
2	0
0	0
203	0
5	0
2	0
55	0
221	0
649	0
65	0
17	0
336	0
29	0
2	0
71	0
3	0
1	0
220	0
